ABLE7;AT16;CTRATIO;ETOT;FEMALE;LOGINC;N;OLDSIB;YNGSIB;SCHOOL
90;3;16.70652;9;0;4.007333;1;1;0;0
45;2;21.35135;13;0;3.218876;3;0;1;0
47.5;3;21.18182;0;1;3.960813;5;1;1;0
70;1;14.72727;9;0;3.749504;7;1;2;1
52.5;3;18.68421;3;1;4.051785;9;0;1;0
40;2;19.86792;4;0;3.749504;11;1;1;0
97.5;2;17.5098;8;1;3.688879;13;1;0;0
87.5;2;18.1282;0;0;4.283587;15;1;2;0
82.5;3;17.28;0;1;4.051785;17;1;0;0
62.5;3;17.14286;4;1;3.218876;19;2;1;0
87.5;3;19.2;6;1;3.314186;21;2;3;0
82.5;2;16.8254;7;1;4.412798;23;1;1;0
37.5;3;17.52326;6;1;3.960813;25;0;1;0
85;2;18.1282;8;0;4.007333;27;0;0;0
75;1;17.35897;7;0;4.248495;29;0;1;1
92.5;2;18.85714;8;0;4.025352;31;0;1;0
95;1;17.04348;8;1;4.007333;33;1;1;1
97.5;3;17.42593;9;1;4.135167;35;0;0;0
80;3;17.17949;9;0;4.051785;37;0;3;0
97.5;3;15.73684;8;1;3.749504;39;0;3;0
92.5;2;15.73684;9;1;3.749504;41;0;4;0
80;1;18.78049;13;1;3.960813;43;0;1;1
85;2;18.21428;11;0;3.86073;45;0;1;0
67.5;3;16.45833;8;0;3.806663;47;1;1;0
90;3;17.56522;5;0;4.174387;49;1;3;0
82.5;1;18.4;8;1;4.051785;51;0;1;1
87.5;1;18.57143;8;1;3.555348;53;1;4;1
90;1;17.52174;7;1;3.960813;55;1;1;1
72.5;2;17.52174;4;1;3.960813;57;1;1;0
97.5;1;17.14545;8;1;3.86073;59;0;0;1
82.5;2;16.96428;7;0;3.86073;61;1;2;0
65;2;19.1875;6;0;3.960813;63;1;1;0
82.5;3;17.14286;9;1;4.579853;65;0;1;0
82.5;3;19.0625;3;1;4.212128;67;1;4;0
82.5;2;19.0625;8;1;4.283587;69;0;0;0
52.5;3;19.0625;5;1;3.555348;71;0;1;0
67.5;2;19.23529;11;1;3.624341;73;1;3;0
55;3;18.68421;3;1;3.806663;75;0;1;0
87.5;1;20.06667;8;0;3.401197;77;0;2;1
60;2;17.58537;5;0;3.806663;79;0;0;0
92.5;1;16.1129;8;0;4.094345;81;0;2;1
87.5;3;16.73913;1;0;3.86073;83;0;2;0
40;2;17.98246;6;0;3.688879;85;0;1;0
35;3;16.73913;3;0;3.401197;87;0;4;0
52.5;3;17.30882;5;1;4.283587;89;1;0;0
92.5;2;17.30882;9;0;3.701302;91;0;3;0
77.5;2;16.57143;7;0;4.283587;93;0;2;0
90;3;15.52;9;0;2.995732;95;0;0;0
92.5;1;14.56757;10;1;4.317488;97;1;0;1
30;3;18.73077;0;0;3.555348;99;2;2;0
52.5;3;18.73077;8;1;4.007333;101;0;0;0
100;2;14.7027;7;1;3.314186;103;0;1;0
95;3;19.69565;3;1;3.749504;105;1;1;0
90;1;16.8;9;1;3.749504;107;0;1;1
80;2;19.5098;1;0;4.007333;109;1;0;0
80;3;19.5098;1;0;4.007333;111;1;0;0
40;1;18.1;1;1;3.401197;113;0;0;1
92.5;1;16.66667;9;1;4.579853;115;1;0;1
85;1;16.78652;9;1;4.527209;117;0;3;1
87.5;1;15.48718;9;0;3.881564;119;1;1;1
95;3;17.01493;7;1;3.960813;121;1;2;0
57.5;3;18.78049;2;0;4.051785;123;1;0;0
67.5;2;18.92683;9;1;3.749504;125;0;1;0
75;3;17.40741;6;1;3.401197;127;0;0;0
