,product,mushy,servings_sold,city_population,price_per_serving,price_instrument,market_ids,product_ids,sugar,city,quarter
0,F1B04,1,576944.77049172,516259,0.072087944,0.035483677,C01Q1,F1B04,2,01,1
1,F1B06,1,362849.959798308,516259,0.11417849,0.072579051,C01Q1,F1B06,18,01,1
2,F1B07,1,603767.99289141,516259,0.13239066,0.10184248,C01Q1,F1B07,4,01,1
3,F1B09,0,268091.500569903,516259,0.13034408,0.10433204,C01Q1,F1B09,3,01,1
4,F1B11,0,833279.5528667101,516259,0.15482331,0.1211111,C01Q1,F1B11,12,01,1
5,F1B13,0,1236011.9545825198,516259,0.13704921,0.1057266,C01Q1,F1B13,14,01,1
6,F1B17,1,1162268.82723546,516259,0.14420936,0.12097338,C01Q1,F1B17,3,01,1
7,F1B30,0,235013.731206507,516259,0.12819085,0.097110871,C01Q1,F1B30,4,01,1
8,F1B45,0,247731.431456826,516259,0.14961074,0.11900878,C01Q1,F1B45,14,01,1
9,F2B05,0,1768755.89949138,516259,0.10851394,0.07205275,C01Q1,F2B05,1,01,1
10,F2B08,0,387862.7253848549,516259,0.13228658,0.10977463,C01Q1,F2B08,11,01,1
11,F2B15,1,306480.60705767403,516259,0.11208285,0.069228118,C01Q1,F2B15,4,01,1
12,F2B16,1,1399355.57941992,516259,0.11526257,0.091322432,C01Q1,F2B16,3,01,1
13,F2B19,0,4648457.625698701,516259,0.11087895,0.070753093,C01Q1,F2B19,13,01,1
14,F2B26,0,614890.3335759,516259,0.12810806,0.087140195,C01Q1,F2B26,13,01,1
15,F2B28,1,1098510.80459733,516259,0.17482731,0.13866838,C01Q1,F2B28,16,01,1
16,F2B40,0,402463.253699973,516259,0.13363731,0.099845938,C01Q1,F2B40,10,01,1
17,F2B48,0,125426.799310455,516259,0.14741729,0.12234405,C01Q1,F2B48,3,01,1
18,F3B06,1,880156.57217895,516259,0.10980325,0.072030579,C01Q1,F3B06,20,01,1
19,F3B14,0,503937.3431952,516259,0.13695975,0.097960189,C01Q1,F3B14,7,01,1
20,F4B02,0,364732.137376767,516259,0.17512687,0.14873129,C01Q1,F4B02,14,01,1
