"DENTS";"DENTS_F";"TPOP";"OPOP";"OCTY";"PGRW";"NGRW";"PINC";"ELD";"LNHDD";"LANDV";"BIRTHS"
5;"5 and more";3,5350001;5,8438597;8,3870001;0,83700001;0;7,7160001;0,11578925;7,2737865;1,183;26761
10;"5 and more";9,257;0,58835;2,1600001;1,9450001;0;6,6729999;0,15301172;7,2737865;0,090999998;897
10;"5 and more";15,737;0,58835;2,1600001;1,3049999;0;6,6729999;0,15301172;7,2737865;0,090999998;897
5;"5 and more";7,921;1,36367;1,434;0;-0,145;4,4850001;0,060343936;7,3765082;0,111;1896
3;"3";5,2849998;1,36367;1,434;0,52600002;0;4,4850001;0,060343936;7,3765082;0,111;1896
2;"2";2,5420001;1,85603;1,196;0,59399998;0;5,6810002;0,1100117;6,8906093;1,347;1824
3;"3";1,595;0,63770002;0,43700001;0,198;0;3,7650001;0,16966203;8,0557928;0,38600001;109
3;"3";3,0250001;0,1084;0,229;0,226;0;6,5630002;0,13937283;7,8414931;0,33899999;161
2;"2";0,60000002;0,1374;0,38499999;0,1;0;8,5900002;0,042555671;7,8811822;0,33199999;125
1;"1";1,03;0,1178;0,197;0,085000001;0;7,1199999;0,14383338;7,9648509;0,271;36
2;"2";1,331;0,1469;0,094999999;0;-0,028999999;5,5500002;0,092521831;8,6061192;0,396;76
1;"1";1,6569999;0,080109999;0,050999999;0;-0,003;5,6069999;0,13932461;8,6061192;0,21699999;90
1;"1";0,84200001;0,54500002;0,11;0,061000001;0;3,6800001;0,13513513;8,6061192;0,121;59
1;"1";0,82599998;0,052619997;0,161;0,207;0;5,381;0,10434258;8,6452341;0,24699999;33
5;"5 and more";5,7849998;0,43698001;0,21699999;1,1720001;0;6,6300001;0,046496399;8,7555799;0,42300001;149
2;"2";3,9449999;0,080760002;0,294;0;-0,384;5,1589999;0,18400621;8,6061192;0,124;90
1;"1";0,94700003;0,044769999;0,014;0,039999999;0;6,8639998;0,076757915;8,7769384;0,212;31
1;"1";0,87800002;0,047119997;0,055;0,082999997;0;6,4520001;0,14772727;8,6061192;0,156;35
2;"2";3,1070001;0,15000001;0,064999998;0,27900001;0;5,9499998;0,13778129;8,7555799;0,336;141
2;"2";2,5810001;0,058900002;0,121;0,008;0;6,3569999;0,17499463;8,7555799;0,145;84
0;"0";0,61000001;0,017280001;0,025;0;-0,043000001;7,1040001;0,079601988;8,6061192;0,333;17
2;"2";1,0470001;0,14119999;0,15899999;0,49399999;0;6,3460002;0,055451129;8,6452341;0,27500001;59
1;"1";0,917;0,13510001;0,108;0,017999999;0;5,8730001;0,12399163;8,6659584;0,292;53
3;"3";3,1070001;0,3768;0,59899998;0,50300002;0;5,4419999;0,12047324;8,8710842;0,338;189
10;"5 and more";4,46;3,8787901;0,88499999;0,31600001;0;5,3150001;0,11294127;8,6007986;0,73500001;491
4;"4";1,906;0,047910001;0,092;0;-0,003;4,9580002;0,11304706;8,6007986;0,92400002;141
1;"1";1,2410001;0,064400002;0,107;0;-0,003;5,4840002;0,11041293;8,9865713;0,493;86
1;"1";0,40400001;0,027489999;0,002;0,068000004;0;5,8610001;0,1210269;8,6659584;0,31999999;15
1;"1";0,75800002;0,04163;0,088;0;-0,026000001;5,237;0,11344165;8,6659584;0,43200001;66
8;"5 and more";7,54;1,25322;0,53899997;1,289;0;5,3239999;0,052538835;8,6659584;0,384;558
4;"4";3,6659999;0,38385001;0,47799999;0,029999999;0;5,8730001;0,12465299;8,6007986;0,336;259
5;"5 and more";3,3080001;0,095690005;0,20999999;0,398;0;5,5650001;0,12024128;8,6659584;0,44299999;137
1;"1";0,727;0,18610001;0,17900001;0;0;4,2969999;0,094580598;8,9865713;0,68199998;81
1;"1";1,096;0,1123;0,104;0;-0,148;7,2069998;0,22931896;8,4736595;0,303;30
2;"2";2,3870001;0,1319;0,19499999;0,096000001;0;6,6810002;0,21667776;8,5539112;0,36199999;60
9;"5 and more";18,256001;1,9786201;0,44;3,5480001;0;7,1329999;0,081888773;8,4747028;0,625;590
11;"5 and more";18,000999;1,60043;0,639;3,8740001;0;7,006;0,12305161;8,4747028;0,48100001;508
1;"1";2,0280001;0,1139;0,15700001;0;-0,043000001;6,4790001;0,17772216;8,5539112;0,345;58
3;"3";4,6529999;1,2150799;0,36500001;0,87400001;0;7,1479998;0,073957287;8,4736595;0,57999998;180
1;"1";1,654;0,028270001;0,063000001;0;-0,066;6,2290001;0,18217979;8,4747028;0,27700001;36
1;"1";1,205;0,073830001;0,233;0;-0,082000002;5,5970001;0,22495706;8,5539112;0,45100001;66
17;"5 and more";25,287001;2,6593502;1,224;1,96;0;6,9590001;0,11826365;8,5411053;0,456;653
3;"3";4,3649998;1,0323199;0,15899999;0,244;0;6,1389999;0,20537144;8,5539112;0,60500002;134
2;"2";2,243;0,13039999;0,088;0,154;0;6,895;0,093804285;8,4736595;0,28999999;70
4;"4";3,4000001;0,29770002;0,211;0;-0,227;6,2319999;0,21363433;8,5539112;0,32100001;95
6;"5 and more";6,8850002;0,97719002;0,29499999;0,149;0;7,1820002;0,17907542;8,4736595;0,56099999;182
1;"1";1,665;0,1728;0,108;0,007;0;6,0929999;0,18928136;8,4747028;0,36899999;66
2;"2";4,1539998;0,68105;0,061000001;0,153;0;6,9419999;0,12884815;8,4747028;0,46599999;95
7;"5 and more";5,7080002;0,1461;0,15899999;0,198;0;6,5539999;0,13274907;8,4747028;0,377;138
2;"2";3,165;0,1453;0,204;0,426;0;7,1820002;0,12183277;8,4736595;0,47;89
4;"4";5,5440001;0,73049998;0,333;0,88599998;0;6,7620001;0,12353568;8,4747028;0,465;146
0;"0";0,98199999;0,06205;0,028999999;0;-0,029999999;5,3530002;0,14180928;8,4747028;0,315;41
1;"1";1,869;0,1147;0,067000002;0;-0,046999998;5,9749999;0,11344952;8,4747028;0,48699999;63
4;"4";6,7659998;2,20889;0,86299998;0;-1,345;4,8260002;0,10438953;8,9805498;0,37;1375
2;"2";4,2620001;3,38978;0,50700003;0,21799999;0;4,5809999;0,14518204;8,9805498;0,36399999;536
3;"3";3,0829999;0,46220002;0,419;0;-0,59399998;5,4699998;0,1301897;8,8431826;0,43000001;147
2;"2";2,1199999;0,44159999;0,132;0;-0,214;5,3010001;0,1369575;8,8315659;0,43900001;110
3;"3";3,9619999;0,28510001;0,25799999;0;-0,36199999;5,283;0,15393586;8,8315659;0,37099999;134
1;"1";1,17;0,14219999;0,26300001;0;-0,377;5,1750002;0,16471839;9,2003908;0,322;69
7;"5 and more";3,9760001;0,058900002;0,113;0;-0,57200003;5,9130001;0,12069387;9,1708717;0,206;149
2;"2";1,896;0,2262;0,58999997;0,052000001;0;5,7280002;0,17718236;8,883502;0,34099999;138
0;"0";0,62;0,027489999;0,018999999;0;-0,043000001;5,1020002;0,15175097;8,883502;0,11;25
2;"2";1,693;0,08247;0,252;0;-0,17;6,684;0,13066317;8,9575109;0,234;98
6;"5 and more";9,6020002;0,37513;0,235;0,579;0;6,5139999;0,13227554;8,883502;0,113;229
1;"1";1,382;0,058119997;0,044;0;-0,104;6,006;0,1601411;8,883502;0,25600001;42
1;"1";2,3540001;0,063620001;0,064000003;0;-0,23;6,5890002;0,10496944;8,883502;0,14399999;78
7;"5 and more";7,1040001;0,41870999;0,15899999;0,667;0;5,6389999;0,16167024;8,9575109;0,18799999;204
1;"1";0,48500001;0,016489999;0,046;0;-0,044;5,4990001;0,10869565;8,883502;0,102;30
0;"0";0,273;0,034560002;0,052999999;0,012;0;4,4749999;0,14327486;8,883502;0,145;18
1;"1";1,138;0,067539997;0,079999998;0,01;0;5,8449998;0,14296296;8,9668665;0,23899999;27
1;"1";0,963;0,05184;0,027000001;0,027000001;0;6,8969998;0,11249463;8,9575109;0,244;57
1;"1";0,93099999;0,050269999;0,085000001;0;-0,033;4,7459998;0,10288675;8,883502;0,164;32
0;"0";0,66000003;0,05105;0,186;0,15899999;0;5,585;0,16391337;9,1708717;0,241;81
