"MBIEInstitutionName1","MBIEInstitutionName2","MBIEInstitutionClass1","MBIEInstitutionClass2","CollaborationRecord"
"45 South Management Ltd.","GF McLaren Research Limited","Business Enterprise","Business Enterprise",1
"45 South Management Ltd.","Plant and Food Research","Business Enterprise","Government",1
"Abacus ALS","Massey University","Business Enterprise","Higher Education",1
"Abacus ALS","MidCentral District Health Board","Business Enterprise","Government",1
"AbacusBio Ltd.","AgResearch","Business Enterprise","Government",1
"AbacusBio Ltd.","Alliance Group Ltd","Business Enterprise","Business Enterprise",1
"AbacusBio Ltd.","Beef and Lamb New Zealand","Business Enterprise","Business Enterprise",1
"AbacusBio Ltd.","DairyNZ","Business Enterprise","Business Enterprise",1
"AbacusBio Ltd.","Massey University","Business Enterprise","Higher Education",3
"AbacusBio Ltd.","NIWA","Business Enterprise","Government",1
"AbacusBio Ltd.","University of Otago","Business Enterprise","Higher Education",4
"ABB Power Quality","University of Canterbury","Business Enterprise","Higher Education",3
"ABI Rehabilitation New Zealand Ltd.","Waikato District Health Board","Business Enterprise","Government",1
"AC Research Associates","Counties Manukau District Health Board","Business Enterprise","Government",1
"AC Research Associates","Erin Park","Business Enterprise","Business Enterprise",1
"AC Research Associates","Guardian Health Care (Bupa)","Business Enterprise","Business Enterprise",1
"AC Research Associates","University of Auckland","Business Enterprise","Higher Education",2
"AC Research Associates","Waitemata District Health Board","Business Enterprise","Government",1
"Academic Colleges Group New Zealand","University of Auckland","Private not for profit","Higher Education",2
"Accident Compensation Corporation","Air New Zealand","Government","Business Enterprise",1
"Accident Compensation Corporation","AUT University","Government","Higher Education",7
"Accident Compensation Corporation","Counties Manukau District Health Board","Government","Government",2
"Accident Compensation Corporation","Health New Zealand Ltd.","Government","Business Enterprise",1
"Accident Compensation Corporation","Health Promotion Agency","Government","Government",1
"Accident Compensation Corporation","Health Quality and Safety Commission","Government","Government",1
"Accident Compensation Corporation","Hutt Valley District Health Board","Government","Government",3
"Accident Compensation Corporation","International Society for Skiing Safety","Government","Private not for profit",1
"Accident Compensation Corporation","Massey University","Government","Higher Education",1
"Accident Compensation Corporation","Penny and Associates Ltd","Government","Business Enterprise",1
"Accident Compensation Corporation","Royal New Zealand College of General Practitioners","Government","Private not for profit",1
"Accident Compensation Corporation","Southern District Health Board","Government","Government",1
"Accident Compensation Corporation","University of Auckland","Government","Higher Education",6
"Accident Compensation Corporation","University of Canterbury","Government","Higher Education",3
"Accident Compensation Corporation","University of Otago","Government","Higher Education",5
"Accident Compensation Corporation","University of Waikato","Government","Higher Education",1
"Accident Compensation Corporation","Victoria University of Wellington","Government","Higher Education",1
"Accident Compensation Corporation","Waitemata District Health Board","Government","Government",1
"Action on Smoking and Health New Zealand","University of Auckland","Private not for profit","Higher Education",5
"Active Health","Tait Communications","Business Enterprise","Business Enterprise",1
"Active Health","University of Otago","Business Enterprise","Higher Education",1
"Acurity Health Group ltd.","Auckland District Health Board","Business Enterprise","Government",2
"Acurity Health Group ltd.","Capital and Coast District Health Board","Business Enterprise","Government",5
"Acurity Health Group ltd.","Counties Manukau District Health Board","Business Enterprise","Government",1
"Acurity Health Group ltd.","CURT St George's Medical Centre","Business Enterprise","Business Enterprise",1
"Acurity Health Group ltd.","Medical Research Institute of New Zealand","Business Enterprise","Higher Education",1
"Acurity Health Group ltd.","Pacific Edge Biotechnology Ltd.","Business Enterprise","Business Enterprise",1
"Acurity Health Group ltd.","Pacific Radiology Group","Business Enterprise","Business Enterprise",1
"Acurity Health Group ltd.","Southern District Health Board","Business Enterprise","Government",1
"Acurity Health Group ltd.","Tauranga Urology Research","Business Enterprise","Business Enterprise",1
"Acurity Health Group ltd.","University of Auckland","Business Enterprise","Higher Education",1
"Acurity Health Group ltd.","University of Canterbury","Business Enterprise","Higher Education",1
"Acurity Health Group ltd.","University of Otago","Business Enterprise","Higher Education",9
"Acurity Health Group ltd.","Victoria University of Wellington","Business Enterprise","Higher Education",1
"Acurity Health Group ltd.","Waitemata District Health Board","Business Enterprise","Government",1
"Ade Consultants","University of Auckland","Business Enterprise","Higher Education",1
"Adidas Sports Medicine","University of Auckland","Business Enterprise","Higher Education",2
"Adis International Ltd.","R and D Insight","Business Enterprise","Business Enterprise",3
"Adis International Ltd.","Te Pou","Business Enterprise","Private not for profit",2
"Adis International Ltd.","University of Auckland","Business Enterprise","Higher Education",3
"Adis International Ltd.","Waitemata District Health Board","Business Enterprise","Government",2
"Advanced Clinical Skills Centre","Auckland District Health Board","Business Enterprise","Government",1
"Advanced Clinical Skills Centre","University of Auckland","Business Enterprise","Higher Education",1
"AECOM","Auckland Council","Business Enterprise","Government",2
"AECOM","Aurecon","Business Enterprise","Business Enterprise",1
"AECOM","Beca","Business Enterprise","Business Enterprise",1
"AECOM","Meridian Energy Ltd.","Business Enterprise","Business Enterprise",1
"AECOM","University of Auckland","Business Enterprise","Higher Education",2
"AECOM","University of Canterbury","Business Enterprise","Higher Education",1
"AECS Ltd.","University of Waikato","Business Enterprise","Higher Education",1
"Aerocool Ltd.","University of Waikato","Business Enterprise","Higher Education",2
"Aeroqual Ltd.","Air Quality Ltd.","Business Enterprise","Business Enterprise",1
"Aeroqual Ltd.","GNS Science","Business Enterprise","Government",1
"Aeroqual Ltd.","NIWA","Business Enterprise","Government",1
"Aeroqual Ltd.","University of Auckland","Business Enterprise","Higher Education",4
"Aeroqual Ltd.","University of Canterbury","Business Enterprise","Higher Education",1
"Affinity Services","University of Auckland","Business Enterprise","Higher Education",1
"AFT Pharmaceuticals Ltd","Braemar Hospital","Business Enterprise","Business Enterprise",1
"AFT Pharmaceuticals Ltd","Canterbury District Health Board","Business Enterprise","Government",1
"AFT Pharmaceuticals Ltd","Southern Clinical Trials Group Ltd.","Business Enterprise","Business Enterprise",1
"AFT Pharmaceuticals Ltd","University of Auckland","Business Enterprise","Higher Education",3
"AFT Pharmaceuticals Ltd","University of Otago","Business Enterprise","Higher Education",2
"AFTpharmaceuticals","University of Auckland","Business Enterprise","Higher Education",1
"Agencies for Nutrition Action","Te Awakairangi Health Network","Private not for profit","Private not for profit",1
"Agencies for Nutrition Action","University of Otago","Private not for profit","Higher Education",1
"Agile Utilities New Zealand Ltd","Massey University","Business Enterprise","Higher Education",1
"Agknowledge Ltd.","AgResearch","Business Enterprise","Government",1
"Agknowledge Ltd.","Ballance Agri-Nutrients Limited","Business Enterprise","Business Enterprise",1
"Agknowledge Ltd.","Lincoln University","Business Enterprise","Higher Education",1
"Agknowledge Ltd.","Ravensdown Fertiliser Coopererative","Business Enterprise","Business Enterprise",1
"AgResearch","Agri-Search Ltd","Government","Business Enterprise",1
"AgResearch","Agvance Marketing Ltd.","Government","Business Enterprise",2
"AgResearch","Alliance Group Ltd","Government","Business Enterprise",1
"AgResearch","Alphalabs","Government","Business Enterprise",1
"AgResearch","Anexa FVC","Government","Business Enterprise",3
"AgResearch","Animal Dermatology NZ","Government","Business Enterprise",1
"AgResearch","Animal Health Board New Zealand","Government","Business Enterprise",2
"AgResearch","ANZCO Foods Ltd.","Government","Business Enterprise",5
"AgResearch","AquaBio Consultants Ltd.","Government","Business Enterprise",1
"AgResearch","Aquaculture New Zealand","Government","Private not for profit",1
"AgResearch","Aqualinc Research Ltd.","Government","Business Enterprise",1
"AgResearch","Aroa Biosurgery","Government","Business Enterprise",1
"AgResearch","Arotec Diagnostics Ltd.","Government","Business Enterprise",2
"AgResearch","Auckland Council","Government","Government",4
"AgResearch","Aurecon","Government","Business Enterprise",1
"AgResearch","AUT University","Government","Higher Education",10
"AgResearch","Avivet Ltd","Government","Business Enterprise",1
"AgResearch","Ballance Agri-Nutrients Limited","Government","Business Enterprise",6
"AgResearch","Bay of Plenty Polytechnic","Government","Higher Education",1
"AgResearch","Biosecurity New Zealand","Government","Government",1
"AgResearch","Biotelliga Ltd","Government","Business Enterprise",2
"AgResearch","Bomac Laboratories Ltd","Government","Business Enterprise",1
"AgResearch","Callaghan Innovation","Government","Government",7
"AgResearch","Cambridge Veterinary Services","Government","Business Enterprise",1
"AgResearch","Canterbury District Health Board","Government","Government",1
"AgResearch","Canterbury Museum","Government","Private not for profit",6
"AgResearch","Canterbury Soil and Plant Limited","Government","Business Enterprise",1
"AgResearch","Capital and Coast District Health Board","Government","Government",1
"AgResearch","Cawthron Institute","Government","Business Enterprise",24
"AgResearch","CH and Associates","Government","Business Enterprise",1
"AgResearch","Cognosco","Government","Business Enterprise",2
"AgResearch","Cropmark Seeds Limited","Government","Business Enterprise",1
"AgResearch","Dairy Goat Co-operative (NZ) Ltd.","Government","Business Enterprise",2
"AgResearch","DairyNZ","Government","Business Enterprise",42
"AgResearch","David Penman and Associates","Government","Business Enterprise",1
"AgResearch","Department of Conservation","Government","Government",5
"AgResearch","Eco Nomos Ltd.","Government","Business Enterprise",1
"AgResearch","Enviro Research","Government","Private not for profit",1
"AgResearch","Environment Canterbury","Government","Government",1
"AgResearch","Environment Protection Authority(EPA)","Government","Government",2
"AgResearch","ESR","Government","Government",25
"AgResearch","Farmax Ltd.","Government","Business Enterprise",3
"AgResearch","Fish and Game NZ","Government","Government",1
"AgResearch","Fonterra","Government","Business Enterprise",12
"AgResearch","Food and Bio-based Products Group","Government","Business Enterprise",2
"AgResearch","Food and Environment Solution","Government","Business Enterprise",1
"AgResearch","Food and Health Group","Government","Business Enterprise",1
"AgResearch","Foundation for Arable Research","Government","Business Enterprise",3
"AgResearch","Fruition Technology","Government","Business Enterprise",1
"AgResearch","GNS Science","Government","Government",9
"AgResearch","Greater Wellington Regional Council","Government","Government",1
"AgResearch","Gribbles Veterinary","Government","Business Enterprise",3
"AgResearch","Harris Consulting","Government","Business Enterprise",1
"AgResearch","Hawke's Bay Regional Council","Government","Government",1
"AgResearch","Horizons Regional Council","Government","Government",2
"AgResearch","Infoics Limited","Government","Business Enterprise",2
"AgResearch","Insect Science Solutions","Government","Business Enterprise",1
"AgResearch","InterAg","Government","Business Enterprise",2
"AgResearch","Intervet/Schering-Plough Animal Health Ltd","Government","Business Enterprise",1
"AgResearch","Johne's Management Limited","Government","Business Enterprise",1
"AgResearch","Keratec Ltd.","Government","Business Enterprise",2
"AgResearch","Landcare Research","Government","Government",98
"AgResearch","Landcorp Farming Limited","Government","Business Enterprise",2
"AgResearch","Learning for Sustainability","Government","Private not for profit",1
"AgResearch","Leather & Shoe Research Association of New Zealand","Government","Business Enterprise",1
"AgResearch","LIC","Government","Business Enterprise",9
"AgResearch","Lincoln Agritech Ltd.","Government","Business Enterprise",1
"AgResearch","Lincoln University","Government","Higher Education",224
"AgResearch","Massey University","Government","Higher Education",362
"AgResearch","Mesynthes Ltd.","Government","Business Enterprise",2
"AgResearch","MidCentral District Health Board","Government","Government",1
"AgResearch","Ministry for Primary Industries","Government","Government",42
"AgResearch","Mt. Aspiring Geochemical Ltd.","Government","Business Enterprise",1
