NR;YEAR;AG;BLACK;BUS;CON;ENT;EXPER;FIN;HISP;HLTH;HOURS;MAN;MAR;MIN;NC;NE;OCC1;OCC2;OCC3;OCC4;OCC5;OCC6;OCC7;OCC8;OCC9;PER;PRO;PUB;RUR;S;SCHOOL;TRA;TRAD;UNION;WAGE;EXPER2;IYEAR_2;IYEAR_3;IYEAR_4;IYEAR_5;IYEAR_6;IYEAR_7;IYEAR_8
13;1982;0;0;1;0;0;3;0;0;0;2940;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14;0;0;0;1.34446167945862;9;0;1;0;0;0;0;0
13;1981;0;0;0;0;0;2;0;0;0;2320;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;14;0;0;1;1.85306000709534;4;1;0;0;0;0;0;0
13;1986;0;0;1;0;0;7;0;0;0;2994;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;-0.720262587070465;49;0;0;0;0;0;1;0
13;1983;0;0;1;0;0;4;0;0;0;2960;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14;0;0;0;1.43321335315704;16;0;0;1;0;0;0;0
13;1984;0;0;0;0;0;5;0;0;0;3071;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;14;0;0;0;1.56812512874603;25;0;0;0;1;0;0;0
13;1987;0;0;1;0;0;8;0;0;0;2640;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;1.66918790340424;64;0;0;0;0;0;0;1
13;1980;0;0;1;0;0;1;0;0;0;2672;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14;0;0;0;1.19754016399384;1;0;0;0;0;0;0;0
13;1985;0;0;1;0;0;6;0;0;0;2864;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;1.69989097118378;36;0;0;0;0;1;0;0
17;1983;0;0;0;0;0;7;0;0;0;2340;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1.72541010379791;49;0;0;1;0;0;0;0
17;1986;0;0;0;1;0;10;0;0;0;2749;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;13;0;0;0;1.572385430336;100;0;0;0;0;0;1;0
17;1985;0;0;0;1;0;9;0;0;0;2164;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;13;0;0;0;1.60858821868896;81;0;0;0;0;1;0;0
