fox;rabbit
13,997;5,987
13,994;6,008
14,013;6,024
13,997;6,003
14,011;5,992
13,995;5,974
13,966;5,98
13,965;5,986
13,97;6,006
13,989;6,014
13,998;6,009
14,017;6,005
14,009;5,989
14,019;5,999
14,033;5,983
14,025;5,959
13,997;5,976
14,006;5,989
13,992;5,998
13,991;6,011
13,987;6,002
13,979;6,004
13,991;6,013
13,999;6,033
13,999;6,01
13,979;6,02
13,987;6,014
14,008;6,018
14,022;6,011
14,003;5,983
14;5,993
13,987;5,994
13,992;6,009
14,002;5,999
14,019;6,003
14,012;6
14,015;5,988
13,992;5,998
13,983;5,987
13,992;6,008
14,022;6,022
14,035;6,001
14,018;5,988
14,003;5,974
13,971;5,994
13,987;6,018
14,005;6,005
14,017;5,997
13,999;5,982
13,986;5,987
13,981;6,009
14;6,008
14,017;5,986
14,007;5,983
13,995;5,981
13,983;6,001
14;6,014
14,014;6,023
14,022;6,01
14,035;5,991
14,023;5,979
14,012;5,977
13,987;5,993
13,984;6,008
14,001;6,009
14,001;5,99
14,015;5,989
14,003;5,985
14,022;6,004
14,022;6,004
14,015;5,996
14,003;5,978
14,003;5,985
13,981;5,999
13,998;6,013
14,01;6,001
14,013;6,001
14,018;5,966
13,997;5,989
13,976;5,996
14;6,027
14,016;6,015
14,034;5,999
14,01;5,992
14,001;6,001
14,005;6,015
14,009;5,995
13,987;5,967
13,978;5,993
13,985;6,01
14;6,027
14,014;6,002
13,994;5,996
14,005;5,986
13,989;5,996
13,99;6
13,993;6,001
13,989;6,01
14;6,023
14,014;6,012
14,015;6,001
14,008;5,981
13,997;5,988
14;5,988
14;5,996
13,999;6,007
14,021;5,991
13,994;5,991
14,004;5,99
13,976;5,984
13,982;6,008
13,985;6,004
13,999;6,011
14;6,007
13,994;5,995
14,005;6,017
14,004;6,004
14,005;6,018
14,017;6,023
14,022;6,019
14,014;5,989
14,013;5,997
13,988;6,005
13,995;5,997
13,977;5,993
13,99;6,017
14,003;6,013
14,01;6,001
14,015;5,991
14,026;5,995
14,017;5,975
14,005;5,993
13,992;5,991
13,978;6,013
14,006;6,019
13,991;6,012
14,007;6,023
14,005;6,02
14,007;6
13,986;6,01
13,988;6,027
13,996;6,015
13,992;6,025
14,009;6,02
14,024;6,025
14,024;5,99
14,001;5,991
14,005;6
13,988;5,984
13,985;5,992
13,982;6,012
13,989;6,014
13,999;6,028
14;6,005
14,001;5,992
13,982;5,974
13,984;5,993
13,993;5,984
14;5,976
13,983;5,978
13,979;5,999
14,006;6,005
13,998;5,992
14,001;6,01
13,991;6,014
14,018;6,005
14,012;5,985
14,005;5,989
13,997;5,982
13,987;6
13,993;6,017
13,995;6,02
14,02;6,001
14,014;5,973
13,994;5,99
14,002;5,999
13,993;6,004
14,003;6,013
13,999;6,011
14,021;6,008
14,011;5,996
14,022;5,968
13,995;5,972
13,993;6,001
14,013;5,986
14,008;5,99
14,006;5,996
14;6,012
14,011;6,006
14,008;5,997
13,986;5,999
13,994;6,013
14,002;6,018
14,023;6,027
14,012;6,008
14,008;5,991
14,007;6,015
14,024;6,006
14,01;5,989
13,989;5,99
13,987;6,007
13,984;6,015
14,009;6,007
14,012;6,004
14,018;5,994
14,008;5,984
14,001;6,004
14,001;5,991
13,987;6,002
14,01;6,001
13,997;6,006
14,004;6,009
14,032;5,997
14,007;5,995
13,998;5,98
14;5,978
13,985;5,975
13,969;6,001
13,986;5,999
14,013;6,009
14,025;5,998
14,009;5,987
13,979;5,982
13,994;6,003
13,994;5,998
13,985;6,014
14,024;6,024
14,023;5,991
14,006;5,981
13,99;5,996
13,99;6,006
14,006;6,01
13,992;6,002
14,004;6,003
13,987;5,984
13,977;6,001
13,983;6,033
14,006;6,034
14,032;6,009
14,002;5,979
13,991;5,991
14;5,979
13,983;5,991
13,988;6,003
13,993;6,022
14,016;6,001
14,004;5,99
13,988;5,991
13,991;5,992
14;5,999
14,007;5,992
14,003;5,98
14,014;5,997
13,994;6,006
13,997;5,992
13,99;6
13,988;6,011
13,997;6,017
13,988;5,999
14,008;6,008
14,017;5,988
13,99;5,983
13,985;6,007
14,006;6,008
14,012;6,011
14,004;5,992
13,995;5,999
13,98;6,014
14,016;6,017
14,004;6,001
14,017;6
14,021;6,002
14,015;5,983
13,995;5,997
14,001;6,008
13,995;5,982
13,988;6,003
14,005;6,003
13,997;6,002
13,989;6,008
13,983;6,024
14,02;6,014
14,03;6,004
14,026;5,976
14,014;5,971
14,005;5,963
13,975;6,009
13,988;6,013
14,007;6,009
13,991;6,001
14,005;6,014
14,007;6,009
14,026;6,005
14,016;5,984
14,003;5,984
14,009;6,02
13,996;6,007
14,018;6,015
14,018;6,01
14,024;5,995
14,002;5,975
13,977;5,961
13,957;5,999
13,986;6,033
14,005;6,011
13,989;5,998
13,99;6,014
13,996;6,022
14,012;6,022
14,028;6,011
14,022;5,99
14,01;5,979
14,003;5,984
13,987;5,982
14,002;6,002
14,003;6,01
13,997;6,004
13,999;6,009
14,022;6,001
14,026;5,996
14,027;6,005
14,025;6,009
14,016;5,992
14,019;5,981
14,002;5,97
13,986;5,998
13,995;6,007
13,993;5,987
13,984;5,981
13,993;5,998
14,007;6,014
14,019;6,01
14,022;5,998
14,009;5,985
13,99;5,987
14,007;5,998
14,018;5,988
14,02;5,972
14;5,981
13,98;6,016
14,004;6,008
13,991;5,985
13,984;5,981
13,97;5,981
13,968;6,002
13,996;6,024
14,009;6,012
14,001;6,015
14,018;6,001
14,026;5,982
14,012;5,993
14,006;5,984
13,993;5,996
13,976;5,993
13,988;6,005
13,985;6,011
14,006;5,996
13,997;5,987
13,996;5,993
13,989;6
13,985;5,996
13,986;6,025
13,987;6,018
14,006;6,018
14,028;5,989
14,011;5,97
13,994;5,986
13,981;5,994
13,982;5,994
13,992;6,01
14;6,014
14,01;6,03
14,011;6,014
13,991;6
14,005;5,996
13,997;5,99
13,99;6,005
13,996;6,026
14,007;6,003
14,011;5,997
14,002;5,977
13,981;5,982
13,974;5,987
13,979;6,017
13,991;6,018
14,004;6,022
14,011;6,034
13,999;6,012
13,998;6,005
14,015;6,007
14,008;5,983
13,991;5,98
13,998;5,989
13,989;5,996
13,987;6,015
14,002;6,014
14,007;5,995
14,002;5,992
13,985;5,988
13,993;6,012
14,009;6,014
14,002;6,014
13,995;6,013
13,989;6,02
14,019;6,018
14,027;6,003
14;5,971
13,995;5,996
13,998;5,996
13,988;5,993
13,979;5,995
13,991;5,998
14,013;6,01
14,009;5,995
13,997;5,997
14,01;5,984
13,98;5,982
13,979;6,017
13,996;6,021
14;6,005
13,99;6,016
14,005;6,001
14,023;5,982
14,019;5,965
13,982;5,967
13,968;6,004
13,983;6,031
13,998;6,019
14,012;5,992
14,007;5,997
14,02;6,019
14,015;6
13,997;5,992
13,973;5,984
13,978;5,999
13,982;6,001
13,987;6,018
13,987;6,022
14,003;6,013
14,005;5,994
14,016;5,98
14,005;5,989
14,006;5,999
14,012;5,988
14,019;5,996
14,002;5,981
13,994;6,011
14,022;6,016
14,03;5,981
14,01;5,968
13,996;5,985
13,996;5,997
13,975;5,999
13,978;5,998
13,977;6,002
13,984;6,019
13,993;6,016
14,026;6,006
14,017;5,999
14,016;5,99
13,996;5,985
13,978;5,987
14,004;6,007
13,999;6,006
14,011;6,003
14,001;5,988
14,011;5,981
13,997;5,998
13,992;6,003
14,008;6,006
14,021;5,991
14,003;6,001
14,013;6,003
14,002;6,005
14,016;5,995
14,013;5,981
13,996;5,971
13,971;5,977
13,964;6,014
13,98;6,026
13,998;6,037
14,019;6,027
14,009;6,007
13,999;6,01
13,994;6,009
13,987;6,007
13,977;5,991
14,001;6,001
14,006;6,005
14,025;6,001
14,014;5,985
13,982;5,996
13,989;6,007
13,991;6,005
13,998;5,994
13,99;5,976
13,985;5,983
13,982;6,002
13,989;6,015
14,008;6,016
14,005;6,01
14,017;5,993
14,018;5,987
14,01;5,988
13,993;5,98
13,985;5,995
13,987;6,011
13,996;6,007
14,025;5,993
14,01;5,956
13,985;5,977
13,983;5,989
13,986;6,007
14,005;6,003
14,004;6,01
14,011;6,012
14;6,001
13,989;6,007
13,994;6,008
13,989;6,002
14,009;6,004
13,995;6,008
14,004;6,018
14,001;6,019
14,004;6,024
13,997;6,003
13,995;5,991
13,997;6,005
14,009;6,004
14,009;5,987
13,989;6,001
13,983;6,003
13,976;6,01
13,977;6,012
13,99;6,01
14,011;5,994
14,007;5,985
13,995;5,987
13,997;6
13,988;5,994
13,992;6,009
14,01;5,993
14,012;5,982
14;5,983
14,01;5,991
14,007;5,996
14,004;5,998
14,007;6,003
13,992;6,002
14,002;6,015
14,002;5,977
13,987;6,004
13,996;6,006
14,012;5,98
13,996;5,967
13,99;5,985
13,995;6,009
13,983;6,005
13,999;6,016
13,995;6,011
13,998;6,032
14,008;6,009
13,999;5,988
13,995;5,999
13,985;6,008
13,986;6,003
13,999;6,002
14,003;6,002
13,985;5,979
13,996;5,994
14,013;5,987
14,027;5,974
14,006;5,971
13,995;5,973
13,986;5,995
13,986;5,986
13,996;5,989
13,982;6,007
13,996;6,013
14,002;6,006
14,01;5,987
14,001;5,979
13,989;5,99
14,004;6,008
14,012;5,985
13,986;5,979
13,981;5,987
13,975;5,984
13,988;5,977
13,972;5,969
13,971;5,997
14;6,022
14,009;6,014
14,011;6,008
14,015;5,992
14,001;5,989
13,992;5,999
13,987;6,003
14,003;6,013
14,004;6,021
14,021;5,991
13,987;5,966
13,978;5,992
13,982;6,009
13,994;5,995
13,994;6,003
14,007;5,996
13,994;5,995
13,999;6,012
14,001;6,014
14,023;6,013
14,013;5,982
13,989;5,98
13,976;6,001
13,976;6,015
13,992;6,03
14,005;6,011
14,002;5,997
13,991;5,974
13,964;5,99
13,98;6,013
14,01;6,017
13,994;6,002
14,011;5,992
13,975;6,003
13,997;6,031
14,02;6,022
14,019;6,001
14,001;5,984
14,003;5,988
13,985;5,988
14,009;6,004
14,023;5,996
14,008;5,981
13,995;5,975
13,977;5,999
13,982;5,996
13,996;5,999
13,983;6,013
13,993;6,028
14,013;6,015
13,997;5,987
14,004;6,007
14,006;6,005
13,992;5,999
13,993;6,015
14,018;5,997
14,016;5,998
14,004;5,985
13,988;5,988
14,015;6,01
14,013;5,988
13,981;5,97
13,969;5,977
13,958;5,998
13,971;6,025
13,995;6,034
14,008;6,031
14,02;6,007
14,031;5,997
14,013;5,986
13,99;5,987
13,994;5,993
14,007;5,997
14,016;6,006
14,007;6,001
14;5,989
14,018;5,994
14;5,986
14,002;5,988
13,994;5,996
13,982;6,004
13,983;6,035
14,012;6,042
14,008;6,002
14,007;5,99
14,001;5,974
13,987;5,989
13,972;6
14;6,021
14,016;5,996
14,005;5,986
13,998;5,989
13,989;5,98
13,978;6,004
13,996;6,002
14,014;5,966
13,997;5,969
13,981;5,993
13,984;6,015
13,981;6,016
14,008;6,017
14,015;6,009
14,019;5,988
14,014;5,98
14,019;5,986
14,008;5,981
13,992;5,981
13,966;6,006
13,989;6,025
14,025;6,018
14,018;6,001
14,01;5,997
14,006;5,996
14;5,991
14,005;6,013
14,008;5,987
14;5,997
13,995;5,986
13,987;5,991
13,981;6,008
14,003;6,007
14,006;6,024
14,026;6,007
14,009;5,973
13,995;5,983
13,978;5,992
13,977;6,018
13,996;6,012
14,008;5,992
13,997;6,001
13,992;6,007
14,001;6
13,997;6,033
14,016;6,022
14,025;6,03
14,029;6,006
14,02;5,979
14,006;5,983
14,001;5,989
13,977;5,997
13,99;6,001
13,991;5,998
13,999;6,007
13,997;5,987
13,988;5,992
13,977;6,008
14,009;6,009
14,019;6,011
14,003;5,995
14;5,988
13,99;5,974
13,983;5,985
13,973;5,999
13,987;6,024
14,015;6,013
14,017;5,997
14;5,991
14,008;5,985
13,99;5,997
14,006;6,023
14,02;6,017
14,01;5,997
13,999;6,004
13,985;6,011
13,995;6,021
14,011;6,01
14,016;5,99
13,995;6
14,002;5,999
14,024;6,005
13,998;5,987
13,99;5,994
14,002;5,986
14,009;5,977
13,992;5,966
13,975;6
13,982;6,027
13,994;6,034
14,022;6,02
14,014;5,989
13,994;5,973
13,991;5,987
13,984;5,985
13,992;5,985
13,97;6,006
14,002;6,002
13,997;5,993
13,979;6,011
13,987;6,015
13,997;6,016
14,016;6,032
14,01;6,02
14,006;6,012
13,999;6,006
14,009;5,994
