BP,CD,DATE,DAY,DDM,DM,DY,SF
2.249,0.8547,800102,3,NA,0.5861,0.004206,0.6365
2.2365,0.8552,800103,4,-0.00410327127263821,0.5837,0.004187,0.6357
2.241,0.8566,800104,5,0.000856237743895427,0.5842,0.004269,0.6355
2.2645,0.8538,800107,1,0.00188114634353453,0.5853,0.004315,0.6373
2.256,0.8553,800108,2,-0.004967039414699,0.5824,0.004257,0.6329
2.265,0.8565,800109,3,0.00171556055114486,0.5834,0.004245,0.6349
2.2505,0.8583,800110,4,-0.00463878505561688,0.5807,0.004237,0.6317
2.264,0.8591,800111,5,0.00206433928462002,0.5819,0.004238,0.6331
2.2835,0.858,800114,1,-0.000343760745908472,0.5817,0.004227,0.6317
2.283,0.8576,800115,2,-0.00499785615938697,0.5788,0.004164,0.6279
2.2675,0.8602,800116,3,0.00344946875325747,0.5808,0.004197,0.6317
2.277,0.862,800117,4,-0.000172191132582045,0.5807,0.004174,0.6289
2.2835,0.8607,800118,5,-0.00345006379821111,0.5787,0.004169,0.6251
2.278,0.8614,800121,1,-0.00155642054765825,0.5778,0.004151,0.6236
2.2765,0.8612,800122,2,-0.00312012733624367,0.576,0.004172,0.6205
2.278,0.8625,800123,3,0.0024276065329436,0.5774,0.004226,0.6203
2.2765,0.8638,800124,4,-0.000173205161946854,0.5773,0.004175,0.6215
2.2595,0.8597,800125,5,-0.00260168388881243,0.5758,0.004174,0.6184
2.253,0.858,800128,1,-0.000173686496311554,0.5757,0.004161,0.6186
2.265,0.8611,800129,2,0.00294857554707084,0.5774,0.004184,0.6203
2.265,0.8608,800130,3,-0.00381746082199774,0.5752,0.004184,0.6155
2.27,0.8639,800131,4,-0.00208841008727068,0.574,0.004183,0.6121
2.2765,0.8631,800201,5,-0.00122025640522927,0.5733,0.004147,0.6118
2.2925,0.8617,800204,1,0.00174276795591377,0.5743,0.004166,0.614
2.2895,0.8625,800205,2,-0.00139397130082553,0.5735,0.004164,0.6151
2.315,0.8622,800206,3,0.00677733065940944,0.5774,0.004166,0.6238
2.3025,0.8626,800207,4,-0.00381746082199774,0.5752,0.004163,0.6195
2.3,0.8631,800208,5,-0.000347765609486683,0.575,0.004136,0.6176
2.305,0.8626,800211,1,0.000347765609486683,0.5752,0.004141,0.6184
2.3065,0.8611,800212,2,-0.00174003871987338,0.5742,0.00414,0.617
2.304,0.8611,800213,3,0.0013922731103867,0.575,0.004133,0.6184
2.308,0.8627,800214,4,0.000347765609486683,0.5752,0.00411,0.6169
2.297,0.8607,800215,5,-0.000695652201967212,0.5748,0.004116,0.6148
2.2765,0.8641,800219,2,-0.00488316282507206,0.572,0.00407,0.6103
2.2795,0.8667,800220,3,0.0015721900347343,0.5729,0.004063,0.6093
2.286,0.8714,800221,4,-0.0024466981796667,0.5715,0.004061,0.6086
2.27,0.8671,800222,5,-0.00596702367178403,0.5681,0.004048,0.602
2.27,0.8696,800225,1,-0.00193815583532941,0.567,0.00402,0.5973
2.279,0.8684,800226,2,-0.000352795911226611,0.5668,0.00403,0.5989
2.284,0.8713,800227,3,0.00264294048655056,0.5683,0.004028,0.6007
2.283,0.8731,800228,4,-0.00229014457532395,0.567,0.004028,0.597
2.258,0.8728,800229,5,-0.00992563979996974,0.5614,0.003968,0.5847
2.229,0.8729,800303,1,-0.00142602519709434,0.5606,0.00403,0.5827
2.239,0.8707,800304,2,-0.00626288170391798,0.5571,0.004063,0.5813
2.24,0.8682,800305,3,0.00250986148248555,0.5585,0.004042,0.5834
2.232,0.8649,800306,4,-0.00197150346140762,0.5574,0.004031,0.5827
2.222,0.8631,800307,5,-0.00305453476197226,0.5557,0.004031,0.5797
2.2185,0.8563,800310,1,-0.00541322144665835,0.5527,0.004033,0.5763
2.2255,0.8572,800311,2,-0.000180946349901068,0.5526,0.004042,0.5775
2.233,0.8544,800312,3,0.00144665486350937,0.5534,0.004042,0.5797
2.221,0.8515,800313,4,-0.0105359739385317,0.5476,0.004027,0.5714
2.21,0.8459,800314,5,-0.00439239359191623,0.5452,0.004012,0.5693
2.194,0.8479,800317,1,-0.0196338961175591,0.5346,0.004023,0.5617
2.1855,0.8496,800318,2,-0.00299737953897394,0.533,0.004016,0.5625
2.195,0.8478,800319,3,0.00318441778884115,0.5347,0.004024,0.5656
2.19,0.8478,800320,4,0.00186846093222881,0.5357,0.004019,0.5664
2.184,0.844,800321,5,-0.00636706270820286,0.5323,0.004016,0.5613
2.1915,0.8399,800324,1,-0.00773224031567987,0.5282,0.004011,0.5586
2.1925,0.8396,800325,2,0.000567805447260428,0.5285,0.004016,0.5585
2.176,0.8399,800326,3,-0.00474159257258233,0.526,0.004014,0.5567
2.173,0.8436,800327,4,-0.0133973295718213,0.519,0.004,0.5449
2.176,0.8414,800328,5,-0.00231481584845128,0.5178,0.004009,0.5458
2.152,0.8359,800331,1,-0.0141984297127172,0.5105,0.004,0.5385
2.153,0.8338,800401,2,-0.00196078494194074,0.5095,0.003907,0.5356
2.147,0.839,800402,3,0.00411321704190837,0.5116,0.00389,0.5376
2.1375,0.8389,800403,4,-0.00784933386445508,0.5076,0.00388,0.5347
2.138,0.8383,800404,5,0.000787711738249208,0.508,0.003861,0.5364
2.1355,0.8422,800407,1,-0.00394477829101636,0.506,0.003819,0.5319
2.177,0.8458,800408,2,0.0220863077220038,0.5173,0.00387,0.5452
2.1825,0.846,800409,3,0.0248199071336149,0.5303,0.003973,0.5592
2.2,0.8477,800410,4,0.00620361045832962,0.5336,0.004027,0.5711
2.206,0.8478,800411,5,0.00224635062637435,0.5348,0.003961,0.573
2.199,0.8427,800414,1,-0.00468560504907656,0.5323,0.003957,0.5724
2.198,0.8406,800415,2,-0.00527407513725064,0.5295,0.003958,0.5681
2.2265,0.8436,800416,3,0.0181533945566362,0.5392,0.004027,0.5813
2.2285,0.8455,800417,4,0.00517944184154895,0.542,0.004016,0.5797
2.2155,0.8451,800418,5,-0.00388206421540482,0.5399,0.004003,0.5757
2.241,0.845,800421,1,0.0012956966181058,0.5406,0.004,0.5793
2.2415,0.8466,800422,2,-0.00203684914415792,0.5395,0.004006,0.5761
2.274,0.8449,800423,3,0.0203658080103176,0.5506,0.004113,0.5882
2.2615,0.8479,800424,4,-0.000726744218032649,0.5502,0.004074,0.5883
2.275,0.8448,800425,5,0.00308502195498128,0.5519,0.004062,0.59
2.284,0.8421,800428,1,0.010633604747933,0.5578,0.00415,0.5997
2.274,0.8414,800429,2,-0.00125571816661862,0.5571,0.004167,0.6017
2.263,0.8409,800430,3,-0.00323624877920836,0.5553,0.004165,0.5997
2.259,0.8403,800501,4,-0.00036023055144585,0.5551,0.004161,0.6001
2.256,0.8372,800502,5,-0.0110498361865849,0.549,0.004182,0.5899
2.2835,0.8419,800505,1,0.0159020336838578,0.5578,0.004212,0.6015
2.281,0.8453,800506,2,0.000716845908833363,0.5582,0.004325,0.6032
2.292,0.8455,800507,3,0.00393349336063009,0.5604,0.004324,0.6059
2.281,0.8494,800508,4,-0.00644470544264208,0.5568,0.00427,0.5992
2.2705,0.8489,800509,5,-0.00684810749787501,0.553,0.004354,0.5953
2.2875,0.8512,800512,1,0.013649637208353,0.5606,0.004415,0.6045
2.287,0.8528,800513,2,-0.00393208728252514,0.5584,0.004392,0.6023
2.2985,0.8499,800514,3,-0.00197185687267198,0.5573,0.004377,0.601
2.2885,0.85,800515,4,-0.000179452669839986,0.5572,0.004382,0.5991
2.285,0.8533,800516,5,-0.00107739281386032,0.5566,0.004372,0.5988
2.285,0.8517,800519,1,-0.00468216234450647,0.554,0.00436,0.5959
2.2945,0.8557,800520,2,0.00432277330200392,0.5564,0.004424,0.5972
2.3295,0.86,800521,3,0.00394619346178848,0.5586,0.004454,0.6007
2.329,0.8616,800522,4,0.000536912764576014,0.5589,0.004464,0.602
2.354,0.862,800523,5,0.00908368522240643,0.564,0.004533,0.6084
2.375,0.8617,800527,2,0.00618649785749892,0.5675,0.004546,0.6116
2.361,0.8614,800528,3,-0.0065411706755456,0.5638,0.004459,0.6055
2.33,0.8627,800529,4,-0.00837123064741241,0.5591,0.004445,0.6
2.348,0.8631,800530,5,0.0053514219754297,0.5621,0.004474,0.6035
2.332,0.8623,800602,1,-0.00302895554517746,0.5604,0.004467,0.6015
2.292,0.864,800603,2,0.00693521051224244,0.5643,0.004513,0.6062
2.322,0.8631,800604,3,-0.00337268447863925,0.5624,0.004491,0.6051
2.335,0.8661,800605,4,0.00301820024947541,0.5641,0.004563,0.608
2.3355,0.867,800606,5,0.00177116588986714,0.5651,0.004564,0.6105
2.3415,0.8696,800609,1,0.0045904035408828,0.5677,0.004619,0.6173
2.3285,0.871,800610,2,-0.000881134958762742,0.5672,0.004613,0.6146
2.3475,0.8714,800611,3,-0.00105838782150158,0.5666,0.004595,0.6135
2.3372,0.8732,800612,4,0.0056318346673917,0.5698,0.004623,0.6178
2.346,0.8729,800613,5,0.00227890360700944,0.5711,0.004636,0.6209
2.332,0.8696,800616,1,-0.0128647469908052,0.5638,0.004616,0.6105
2.3355,0.8683,800617,2,0.00513048449556142,0.5667,0.004636,0.6157
2.3318,0.87,800618,3,0.000352858154684443,0.5669,0.004629,0.6157
2.334,0.8703,800619,4,-0.00264947607076793,0.5654,0.004618,0.6131
2.333,0.87,800620,5,0.000530457089619962,0.5657,0.004591,0.6123
2.3415,0.8704,800623,1,-0.00106119571331231,0.5651,0.004619,0.6112
2.3355,0.8687,800624,2,0,0.5651,0.00462,0.6097
2.3375,0.8673,800625,3,0.000353857045447437,0.5653,0.004587,0.6097
2.351,0.8703,800626,4,0.0040603816046425,0.5676,0.004613,0.6155
2.354,0.8694,800627,5,0.0021119332031434,0.5688,0.004597,0.6169
2.3585,0.8689,800630,1,-0.00334595715877306,0.5669,0.004546,0.6142
2.365,0.8689,800701,2,0.00229054808982965,0.5682,0.004553,0.6159
2.36,0.8746,800702,3,0.00123120233651397,0.5689,0.004574,0.6178
