obs,CPIFR,CPIIT,LNFR,LNIT,LNP,LNX
1981M01,57.8451,43.5,4.05776874823725,3.77276093809464,-0.285007810142608,5.33136763932196
1981M02,58.3893,44.3,4.06713265386941,3.79098467705109,-0.276147976818326,5.32506250541079
1981M03,58.9334,45,4.07640799275651,3.80666248977032,-0.269745502986193,5.35416211234828
1981M04,59.7497,45.6,4.09016416987851,3.81990771652034,-0.270256453358172,5.35226752833554
1981M05,60.2939,46.3,4.09923093775368,3.83514196109219,-0.264088976661491,5.34261411710513
1981M06,60.8924,46.8,4.10910837218286,3.8458832029236,-0.263225169259254,5.33365989618279
1981M07,61.9264,47.1,4.12594658311341,3.85227300102237,-0.273673582091035,5.34440244670311
1981M08,62.6882,47.5,4.13817323216031,3.86072971104059,-0.277443521119713,5.33950585390159
1981M09,63.3956,48.2,4.14939445840393,3.87535902105656,-0.274035437347375,5.35071245373891
1981M10,64.2119,49,4.16218855177465,3.89182029811063,-0.270368253664022,5.35348335237644
1981M11,64.756,49.9,4.17062636037926,3.91002100275747,-0.260605357621786,5.35775728688271
1981M12,65.1369,50.4,4.17649120890909,3.91999117507732,-0.256500033831763,5.35580294908469
1982M01,65.8444,51.2,4.18729438281146,3.93573953204546,-0.251554850765993,5.351704567183
1982M02,66.4974,51.9,4.19716284915311,3.94931879017184,-0.247844058981268,5.3516377300421
1982M03,67.3136,52.3,4.20936229647296,3.95699637107088,-0.252365925402085,5.35344833762529
1982M04,68.0755,52.8,4.2206173833731,3.96651119071222,-0.254106192660884,5.35580153288044
1982M05,68.6196,53.4,4.228578208209,3.97781074596615,-0.250767462242851,5.36720889956708
1982M06,69.1094,53.9,4.23569075625401,3.98713047791495,-0.24856027833906,5.30953372733017
1982M07,69.327,54.6,4.23883444070705,4.00003388275086,-0.238800557956189,5.30125604440151
1982M08,69.5447,55.6,4.2419697112961,4.01818320125654,-0.223786510039568,5.29640854590853
1982M09,69.8168,56.5,4.24587466848678,4.0342406381524,-0.211634030334382,5.29289217678297
1982M10,70.1977,57.4,4.25131554696227,4.05004430332552,-0.201271243636745,5.31058283717795
1982M11,70.8507,58.2,4.26057484611611,4.06388535473739,-0.196689491378718,5.31096751495827
1982M12,71.4493,58.6,4.268988107267,4.07073469658297,-0.198253410684036,5.31284680124467
1983M01,72.1567,59.4,4.27884014300132,4.0842942263686,-0.194545916632725,5.3173608822625
1983M02,72.6465,60.2,4.28560521266858,4.09767235231478,-0.187932860353808,5.31655897216203
1983M03,73.3539,60.8,4.29529567290968,4.10758978897212,-0.187705883937561,5.26836061013323
1983M04,74.279,61.4,4.30782827381984,4.1174098351531,-0.190418438666743,5.28198166252221
1983M05,74.7687,62,4.31439934820827,4.12713438504509,-0.187264963163182,5.28932404761284
1983M06,75.2041,62.3,4.32020575074616,4.13196142579341,-0.188244324952752,5.28670469977981
1983M07,75.8571,62.8,4.32885130721471,4.13995507347415,-0.188896233740562,5.28334026763948
1983M08,76.2924,63.2,4.33457332651412,4.14630430115281,-0.188269025361308,5.28959594527607
1983M09,76.891,64,4.34238883455192,4.15888308335967,-0.183505751192251,5.29707809897308
1983M10,77.4896,64.9,4.35014373380615,4.17284762371004,-0.17729611009611,5.29837836468761
1983M11,77.8161,65.7,4.35434835064907,4.18509892549057,-0.169249425158508,5.29425311867022
1983M12,78.0882,65.9,4.35783895708237,4.18813844150846,-0.169700515573913,5.29198938705128
1984M01,78.6323,66.7,4.36478255649766,4.20020495292158,-0.164577603576086,5.29168290711187
1984M02,79.1221,67.5,4.3709922289238,4.21212759787848,-0.158864631045319,5.30649384783217
1984M03,79.6662,68,4.37784540550566,4.21950770517611,-0.158337700329552,5.31043811262236
1984M04,80.156,68.5,4.3839747358919,4.22683374526818,-0.157140990623718,5.30233329191434
1984M05,80.5913,69,4.38939070323994,4.23410650459726,-0.155284198642684,5.3077130881884
